2026-07-04 16:12:16,123 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:17:27,537 | INFO  | LIGO.ligo.registry | Service 'greeting.pl' registered successfully. | context={"key": "greeting.pl", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:17:27,537 | INFO  | LIGO.ligo.registry | Service 'greeting.en' registered successfully. | context={"key": "greeting.en", "contract": "GreetingServiceProtocol", "module_path": "modules.english_greeting"}
2026-07-04 16:17:27,537 | INFO  | LIGO.ligo.registry | Service 'greeting.pl' retrieved from registry. | context={"key": "greeting.pl", "caller": "unknown"}
2026-07-04 16:17:27,537 | INFO  | LIGO.ligo.registry | Service 'greeting.en' retrieved from registry. | context={"key": "greeting.en", "caller": "unknown"}
2026-07-04 16:18:11,686 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:18:11,705 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:18:11,705 | INFO  | LIGO.ligo.registry | Service 'dup' registered successfully. | context={"key": "dup", "contract": "none", "module_path": "modules.polish_greeting"}
2026-07-04 16:18:11,706 | WARNING | LIGO.ligo.registry | Service 'dup' is already registered. | context={"key": "dup"}
2026-07-04 16:18:11,707 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:18:11,707 | WARNING | LIGO.ligo.registry | Service 'nonexistent' is not registered. | context={"key": "nonexistent"}
2026-07-04 16:18:11,709 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:18:11,709 | INFO  | LIGO.ligo.registry | Service 'x' registered successfully. | context={"key": "x", "contract": "none", "module_path": "modules.polish_greeting"}
2026-07-04 16:18:11,710 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:18:11,710 | INFO  | LIGO.ligo.registry | Service 'pl' registered successfully. | context={"key": "pl", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:18:11,710 | INFO  | LIGO.ligo.registry | Service 'en' registered successfully. | context={"key": "en", "contract": "GreetingServiceProtocol", "module_path": "modules.english_greeting"}
2026-07-04 16:18:11,710 | INFO  | LIGO.ligo.registry | List services requested.
2026-07-04 16:18:11,712 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:18:11,713 | INFO  | LIGO.ligo.registry | Service 'greet.test' registered successfully. | context={"key": "greet.test", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:18:11,713 | INFO  | LIGO.ligo.registry | Service 'greet.test' retrieved from registry. | context={"key": "greet.test", "caller": "unknown"}
2026-07-04 16:18:11,714 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:18:11,714 | INFO  | LIGO.ligo.registry | Service 'greeting.pl' registered successfully. | context={"key": "greeting.pl", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:18:11,715 | INFO  | LIGO.ligo.registry | Service 'greeting.en' registered successfully. | context={"key": "greeting.en", "contract": "GreetingServiceProtocol", "module_path": "modules.english_greeting"}
2026-07-04 16:18:11,715 | INFO  | LIGO.ligo.registry | Service 'greeting.pl' retrieved from registry. | context={"key": "greeting.pl", "caller": "unknown"}
2026-07-04 16:18:11,715 | INFO  | LIGO.ligo.registry | Service 'greeting.en' retrieved from registry. | context={"key": "greeting.en", "caller": "unknown"}
2026-07-04 16:31:15,541 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:31:15,561 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:31:15,561 | INFO  | LIGO.ligo.registry | Service 'dup' registered successfully. | context={"key": "dup", "contract": "none", "module_path": "modules.polish_greeting"}
2026-07-04 16:31:15,561 | WARNING | LIGO.ligo.registry | Service 'dup' is already registered. | context={"key": "dup"}
2026-07-04 16:31:15,562 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:31:15,562 | WARNING | LIGO.ligo.registry | Service 'nonexistent' is not registered. | context={"key": "nonexistent"}
2026-07-04 16:31:15,564 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:31:15,564 | INFO  | LIGO.ligo.registry | Service 'x' registered successfully. | context={"key": "x", "contract": "none", "module_path": "modules.polish_greeting"}
2026-07-04 16:31:15,565 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:31:15,565 | INFO  | LIGO.ligo.registry | Service 'pl' registered successfully. | context={"key": "pl", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:31:15,565 | INFO  | LIGO.ligo.registry | Service 'en' registered successfully. | context={"key": "en", "contract": "GreetingServiceProtocol", "module_path": "modules.english_greeting"}
2026-07-04 16:31:15,565 | INFO  | LIGO.ligo.registry | List services requested.
2026-07-04 16:31:15,567 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:31:15,567 | INFO  | LIGO.ligo.registry | Service 'greet.test' registered successfully. | context={"key": "greet.test", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:31:15,567 | INFO  | LIGO.ligo.registry | Service 'greet.test' retrieved from registry. | context={"key": "greet.test", "caller": "unknown"}
2026-07-04 16:31:15,570 | INFO  | LIGO.ligo.registry | ServiceRegistry initialized | context={"REGISTRY_INIT": true}
2026-07-04 16:31:15,570 | INFO  | LIGO.ligo.registry | Service 'greeting.pl' registered successfully. | context={"key": "greeting.pl", "contract": "GreetingServiceProtocol", "module_path": "modules.polish_greeting"}
2026-07-04 16:31:15,570 | INFO  | LIGO.ligo.registry | Service 'greeting.en' registered successfully. | context={"key": "greeting.en", "contract": "GreetingServiceProtocol", "module_path": "modules.english_greeting"}
2026-07-04 16:31:15,570 | INFO  | LIGO.ligo.registry | Service 'greeting.pl' retrieved from registry. | context={"key": "greeting.pl", "caller": "unknown"}
2026-07-04 16:31:15,570 | INFO  | LIGO.ligo.registry | Service 'greeting.en' retrieved from registry. | context={"key": "greeting.en", "caller": "unknown"}
